QTL,annotation,Locus_id,Seed-5 DAP,Seed- 10 DAP,Embryo- 25 DAP,Endosperm- 25 DAP,Endosperm- 25 DAP (replicate),Anther,Pistil,Pre-emergence inflorescence,Post-emergence inflorescence,Leaves-20 days,Leaves- 20 days (replicate),Shoots,Seedling four-leaf stage F1 93-11/Nipp,Seedling four-leaf stage F1 Nipp/93-11,Seedling four-leaf stage 93-11,Seedling four-leaf stage ,Germinating seed-3 days,Stem-60 days,Callus-35 days,60days-Mature roots,Mature leaves-60 days,Mature pollen,Immature panicle-90 days,Mature Sigma and Ovary,Salt Stress-Leaves-2wks,Salt Stress-Roots-2wks,Drought Stress-Leaves-2wks,Drought Stress-Roots-2wks,Cold Stress-Leaves-2wks,Cold Stress-Roots-2wks,M.oryzae infected-Resistant-6h,M.oryzae infected-Resistant-12h,M.oryzae-R-24h,Mock treatment-24hr,Untreated-leaves-2wks,Untreated-Roots-2wks,M.oryzae infected-Susceptible-6h,M.oryzae infected-Susceptible-12h,M.oryzae infected-Susceptible-24h,M.oryzae infected-Susceptible-96h,Rice leaf-beet armyworm damaged-24h,Rice leaf- Mechanical damaged-24h,Rice leaf-Water weevil damaged-24h,HighMilling-Developing seeds-6days,HighTaste-Developing seeds-6days,LowMilling-Developing seeds-6days,Control-Developing seeds-6days,LowTaste-Developing seeds-6days,start,stop,ori
qCDP1,expressed protein,LOC_Os01g66150,20.2674,7.94099,6.38533,4.34099,4.03904,2.68706,12.9353,4.36649,12.2347,52.9644,21.1821,7.12117,10.8524,10.6443,9.63871,9.97454,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,38431286,38433670,-
qCDP1,"armadillo/beta-catenin repeat family protein, putative, expressed",LOC_Os01g66130,4.1909,1.90136,2.90833,0.545392,0.619729,0.977618,6.64405,4.83636,2.80761,0.76038,0.645428,4.60881,0.410956,0.679906,1.0312,0.622864,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38409201,38413065,+
qCDP1,"plus-3 domain containing protein, putative, expressed",LOC_Os01g66140,4.48587,2.71468,9.39052,0.880779,1.07832,4.11504,5.15206,7.5826,4.4491,4.8817,4.70412,8.70482,1.44158,1.59352,1.36947,1.90257,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38413166,38424621,-
qCDP1,"cytochrome c, putative, expressed",LOC_Os01g66180,47.0233,10.6365,83.8427,5.37893,2.96043,6.3756,28.2032,20.9048,34.5003,4.34532,4.14414,26.4629,4.65277,4.13756,3.96478,12.3659,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38443627,38446431,+
qCDP1,"cytochrome c, putative, expressed",LOC_Os01g66180,47.0233,10.6365,83.8427,5.37893,2.96043,6.3756,28.2032,20.9048,34.5003,4.34532,4.14414,26.4629,4.65277,4.13756,3.96478,12.3659,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38443627,38445718,+
qCDP1,"retrotransposon protein, putative, Ty3-gypsy subclass",LOC_Os01g66210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38464169,38465598,-
qCDP1,"mitochondrion protein, putative, expressed",LOC_Os01g66240,14.3072,11.8807,10.811,9.38176,8.02305,9.72675,7.25122,9.06851,3.13777,7.31804,2.6666,17.7955,4.76107,5.72767,6.15402,8.3143,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38475617,38480790,+
qCDP1,expressed protein,LOC_Os01g66200,16.0409,2.42597,23.8667,0.985511,1.04023,7.58037,31.3887,41.0235,21.7989,4.42961,0.936506,103.938,17.1376,22.8347,26.9429,26.7748,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38454786,38460564,-
qCDP1,expressed protein,LOC_Os01g66260,0,0,0,0,0,0,0,0,0,0,0,0,0.751936,0.601518,1.3994,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38484468,38485604,-
qCDP1,"AP2 domain containing protein, expressed",LOC_Os01g66270,0,0,0,0,0,0.555532,0,0,0,0,0.382794,0,0.552551,0.225837,0.209624,0.552485,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38489525,38490169,+
qCDP1,"S-locus-like receptor protein kinase, putative, expressed",LOC_Os01g66250,0,0,0,0,0,0,0,0,0,0,0.145439,0,1.1389,0.45381,0.851933,1.23689,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,38481235,38484007,+
qCDP1,"pentatricopeptide, putative, expressed",LOC_Os01g66160,8.33287,2.33421,0.751009,1.86843,1.60541,9.49616,3.01162,1.11597,1.30519,1.04855,0.630813,0.594969,0.570664,0.309372,0.795463,0.467815,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38435460,38437074,+
qCDP1,"SNARE associated Golgi protein, putative, expressed",LOC_Os01g66170,12.8882,2.20641,9.03764,2.05456,2.2941,5.1106,18.1105,9.92721,13.9864,66.5679,46.5786,17.4039,74.3079,62.2349,54.9222,50.0302,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,38436842,38440460,-
qCDP1,"transcriptional regulator, putative, expressed",LOC_Os01g66280,12.9466,2.40426,8.00959,1.55233,1.61008,52.2919,11.7328,9.09812,22.7776,11.7655,17.7411,10.8614,12.6769,10.5888,12.897,14.9805,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38491271,38494134,-
qCDP1,"csAtPR5, putative, expressed",LOC_Os01g66230,8.53538,3.55611,10.3081,1.41237,1.48332,7.54788,5.20811,3.95737,5.84775,1.60385,2.82697,1.35158,2.02868,1.68833,1.91772,1.93047,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,38469633,38475218,-
qCDP1,"csAtPR5, putative, expressed",LOC_Os01g66230,8.53538,3.55611,10.3081,1.41237,1.48332,7.54788,5.20811,3.95737,5.84775,1.60385,2.82697,1.35158,2.02868,1.68833,1.91772,1.93047,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,38471695,38475218,-
qCDP1,expressed protein,LOC_Os01g66310,0,0,1.36023,0,0,0,0,1.43999,0,0,2.17876,0,1.10533,1.31973,1.64653,0.310113,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,38516417,38516837,+
qCDP1,"No apical meristem protein, putative, expressed",LOC_Os01g66120,67.0981,35.141,48.4577,29.1331,31.0284,31.0247,46.1893,0.318418,18.5377,100.282,137.945,109.634,37.3074,26.4323,44.5192,25.8305,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38398517,38401533,-
qCDP1,"No apical meristem protein, putative, expressed",LOC_Os01g66120,67.0981,35.141,48.4577,29.1331,31.0284,31.0247,46.1893,0.318418,18.5377,100.282,137.945,109.634,37.3074,26.4323,44.5192,25.8305,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38398517,38401481,-
qCDP1,expressed protein,LOC_Os01g66320,8.31668,1.09842,7.51548,0.618951,0.538939,4.45109,12.2437,8.05888,18.3625,19.6337,18.6039,9.37468,19.1852,16.519,19.41,19.7524,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38517502,38520259,-
qCDP1,"OsMADS21 - MADS-box family gene with MIKCc type-box, expressed",LOC_Os01g66290,143.619,16.4395,0,12.1547,9.6474,0,105.197,0.58477,10.2262,0,0,0,0.171555,0,0.211049,0.0939203,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,38500880,38505127,+
qCDP1,"OsMADS21 - MADS-box family gene with MIKCc type-box, expressed",LOC_Os01g66290,143.619,16.4395,0,12.1547,9.6474,0,105.197,0.58477,10.2262,0,0,0,0.171555,0,0.211049,0.0939203,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,38501776,38505127,+
qCDP1,expressed protein,LOC_Os01g66190,28.1736,9.27169,28.7862,7.79377,8.60001,11.3372,38.0879,45.1575,19.0904,13.8561,19.098,16.0879,8.91731,10.6105,7.43246,8.01264,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38447688,38450486,-
qCDP1,expressed protein,LOC_Os01g66190,28.1736,9.27169,28.7862,7.79377,8.60001,11.3372,38.0879,45.1575,19.0904,13.8561,19.098,16.0879,8.91731,10.6105,7.43246,8.01264,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38447688,38450501,-
qCDP1,"KH domain containing protein, putative, expressed",LOC_Os01g66300,13.5875,2.73066,18.4352,1.4515,1.33953,3.16941,13.874,29.8864,17.561,26.695,29.8562,36.7956,40.5042,38.318,45.0288,33.4403,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,38509123,38513616,+
qCDP1,"methyltransferase, putative, expressed",LOC_Os01g66110,19.5191,4.34807,12.3288,1.914,2.04193,6.53422,27.2036,59.2412,22.0058,1.41403,2.56435,48.8583,11.5193,22.7561,24.2701,21.5205,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38386267,38391780,-
qCDP1,"methyltransferase, putative, expressed",LOC_Os01g66110,19.5191,4.34807,12.3288,1.914,2.04193,6.53422,27.2036,59.2412,22.0058,1.41403,2.56435,48.8583,11.5193,22.7561,24.2701,21.5205,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38386267,38391315,-
qCDP15,"No apical meristem protein, putative, expressed",LOC_Os12g05990,0,0,0,0,0,0,0,0.966973,0,0,0,0,0.37288,0.257221,0.452195,0.458389,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2762322,2763606,+
qCDP15,"OsFBX439 - F-box domain containing protein, expressed",LOC_Os12g06030,0,0,0,0,0,0,0,0,0,0,0,0,0.258026,0.325132,0.456579,0.192712,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2784262,2785440,-
qCDP15,"transposon protein, putative, unclassified, expressed",LOC_Os12g06040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2794024,2801775,-
qCDP15,"MATE, putative, expressed",LOC_Os12g06050,0,0,0,0,0,0,0,0,0,0,0,0,0.167723,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2809552,2810103,-
qCDP15,"mRNA-decapping enzyme, putative, expressed",LOC_Os12g06020,36.7407,12.519,50.7825,5.54674,5.32457,21.3636,46.8927,73.9685,43.8552,20.4353,28.0362,7.71505,8.81997,11.0475,10.7297,12.6791,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2780550,2783704,+
qCDP15,expressed protein,LOC_Os12g06080,2.35385,0,12.1379,0,0,3.97377,31.5554,24.161,3.6482,0,0,12.6391,1.72324,2.30978,3.21474,2.20587,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2836021,2836995,-
qCDP15,expressed protein,LOC_Os12g06090,0,0,0,0,0,0,0,0,0,0,0,0,2.93446,0.100193,3.339,1.63048,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2845230,2845939,-
qCDP15,"amino acid permease family protein, putative, expressed",LOC_Os12g06060,4.83253,1.35748,1.03436,0,0,4.45586,9.68793,9.48287,31.8961,1.52645,0.643532,2.88846,2.89863,2.61557,2.32444,2.25193,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2816374,2822877,+
qCDP15,hypothetical protein,LOC_Os12g06120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2859529,2860783,+
qCDP15,expressed protein,LOC_Os12g06070,0,0,0.770415,0,0,0,0.533023,1.0357,1.10103,0,0.418721,0,0.437607,0.543942,0.343552,0.370727,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2830044,2831936,+
qCDP15,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed",LOC_Os12g06110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110947,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2857316,2858424,-
qCDP15,expressed protein,LOC_Os12g06130,11.4004,2.41223,8.34357,1.68634,1.51741,0,24.6444,10.0471,3.43643,0,0,0,0.329233,0.193665,0.703818,0.243518,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2868421,2869866,+
qCDP15,"TLD family protein, putative, expressed",LOC_Os12g06100,11.0652,2.05259,9.44369,1.59691,1.48292,7.9382,23.472,9.48479,17.9104,13.2696,11.7748,15.7835,5.44401,5.72312,7.11271,6.59184,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2851822,2856292,-
qCDP15,expressed protein,LOC_Os12g06140,0,0,0,0,0,0,0,0,0,0,0,0,0.0689664,0.0879564,0.0625185,0.0864065,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2884645,2886969,+
qCDP15,"DUF623 domain containing protein, expressed",LOC_Os12g06150,3.23715,0,6.4287,0,0,0.359739,23.4922,10.1548,5.14164,0,0,1.68785,0.571822,0.682287,0.786011,0.821557,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,2898691,2900071,+
qCDP15,expressed protein,LOC_Os12g06170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,2920441,2922115,-
qCDP15,expressed protein,LOC_Os12g06190,9.8729,0,0,0,0,3.10194,6.24243,2.4541,2.46798,4.9572,4.42239,5.16123,0.452599,0.263756,0.49196,0.463572,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2935065,2935553,-
qCDP15,"HVA22, putative, expressed",LOC_Os12g06180,14.4733,15.7752,0,28.5137,27.7527,2.72382,4.11972,4.05678,6.69495,1.0653,0,7.41314,0.733843,1.67777,1.50538,1.88953,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2927943,2934406,+
qCDP15,"DUF623 domain containing protein, expressed",LOC_Os12g06160,2.43376,0,5.82977,0,0,0,60.2082,37.0926,6.77619,0,0,0.697958,0.199932,0.834832,0.640124,0.457087,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2911273,2912589,-
qCDP15,"harpin-induced protein 1 domain containing protein, expressed",LOC_Os12g06210,0,0,0,0,0,0,0,4.33494,0,0,0,0,0.813717,0.573981,0.553398,0.71228,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2947866,2948540,-
qCDP15,"harpin-induced protein 1 domain containing protein, expressed",LOC_Os12g06220,1.33591,0,1.53872,0,0,0.602264,12.0706,4.05037,2.3442,7.06072,32.6805,30.9146,7.4058,4.51041,3.70934,4.75024,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2950598,2951599,-
qCDP15,"E2F family transcription factor protein, putative, expressed",LOC_Os12g06200,2.97438,0.648203,2.66436,0.276082,0.216209,2.22628,14.4142,13.5586,3.90021,2.34309,1.21144,7.6551,1.66871,3.65673,1.75561,1.83767,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2939684,2945064,-
qCDP15,"E2F family transcription factor protein, putative, expressed",LOC_Os12g06200,2.97438,0.648203,2.66436,0.276082,0.216209,2.22628,14.4142,13.5586,3.90021,2.34309,1.21144,7.6551,1.66871,3.65673,1.75561,1.83767,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2939684,2945048,-
qCDP15,"retrotransposon protein, putative, unclassified, expressed",LOC_Os12g06010,0.46248,0.382813,2.94252,0.36036,0.370902,0,0,0.281687,0.0524127,0.0585232,0,0,0.0823196,0.0280595,0.0954816,0.0220583,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2768411,2777016,+
qCDP17,expressed protein,LOC_Os12g41480,0,0,0,0,0,0.248138,0,0.249084,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25694892,25695460,-
qCDP17,expressed protein,LOC_Os12g41470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25692347,25692879,+
qCDP17,expressed protein,LOC_Os12g41460,0,0,0,0,0,0,0,0.296366,0,0,0,0,0.555738,0.0454649,0.398751,0.12925,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25687663,25691215,-
qCDP17,"cysteine-rich repeat secretory protein 26 precursor, putative, expressed",LOC_Os12g41520,0,0,0,0,0,0,0,0,0,0,0,0,0.286439,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25713221,25714345,-
qCDP17,"F-box domain containing protein, expressed",LOC_Os12g41450,0,0,0,0,0,0,0,0.974682,0.497197,0,0,0,0.270931,0.14785,0.122445,0.133163,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25677871,25679782,+
qCDP17,expressed protein,LOC_Os12g41550,0,0,0,0,0,0,0.942298,0.541769,0,0,1.07944,0,1.72864,1.73204,1.86871,0.905809,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,25726236,25726754,-
qCDP17,"cysteine-rich receptor-like protein kinase 31 precursor, putative, expressed",LOC_Os12g41510,0.235287,0,0,0,0,0,0.326912,0.714185,0.303026,0,0,0,0.178091,0.0703997,0.218408,0,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25710627,25712683,-
qCDP17,expressed protein,LOC_Os12g41540,0,0,0,0,0,0,0,0,0,0,0,0,0.352753,0,0.204559,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25722809,25725240,-
qCDP17,"cysteine-rich receptor-like protein kinase 8 precursor, putative, expressed",LOC_Os12g41530,0,0,0,0,0,0,0,0,0,0,0,0,0.323857,0.180889,0.191598,0.267894,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25718624,25720790,-
qCDP17,expressed protein,LOC_Os12g41570,0,0,0,0,0,0,0,0,0,0,0,0,0.19364,0.180045,0.320943,0.153176,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25729712,25730584,-
qCDP17,expressed protein,LOC_Os12g41560,7.1297,0,0,0,0,0.951056,1.13674,0.619797,0.999582,2.1609,3.28896,3.45548,4.19976,1.6997,0.277642,2.00874,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25727713,25729368,+
qCDP17,"oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed",LOC_Os12g41590,2.52202,0,0,0,0,11.0804,3.62521,2.65156,1.92144,21.9408,2.14253,9.71764,11.7297,12.2902,6.50594,11.6357,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,25738001,25741105,-
