MID,AA,Aa,aa,F statistic,p value,Trait,Frameshift,Effect,Site,Transcript,ID,QTL,Expression cluster,Functionally annotated,Outlier in expression,annotation,FDR adjusted p value
10508,56,4,103,24.79051612490609,4.182544861395232e-10,Filtered_Shoot_length,no,synonymous,exon,LOC_Os06g35590.1,7537053,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10285,56,4,103,24.79051612490609,4.182544861395232e-10,Filtered_Shoot_length,no,synonymous,exon,LOC_Os06g35530.1,7535634,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10269,56,4,103,24.79051612490609,4.182544861395232e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535618,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10021,56,4,103,24.79051612490609,4.182544861395232e-10,Filtered_Shoot_length,no,synonymous,exon,LOC_Os06g35470.1,7534078,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10020,56,4,103,24.79051612490609,4.182544861395232e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534077,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10341,56,5,99,24.834334864735197,4.256603096706335e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535768,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10263,56,5,102,24.751172591839506,4.310101566493963e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535612,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10339,56,6,98,24.73774038813964,4.580855159919529e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535766,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10342,56,4,103,24.634130184517502,4.713347792577351e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535769,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10288,56,6,101,24.61268897841269,4.791259873151403e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535637,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10293,56,5,102,24.603507484231358,4.825020724614764e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535642,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10329,55,5,103,24.566629780923925,4.963066528740744e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535685,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10164,56,4,100,24.61366414152123,5.03436619093883e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35524.1,7535380,qCDP7,1,No,No,expressed protein,2.353222713984826e-06
10288,56,6,98,24.535541799088712,5.342984491641531e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535637,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10266,56,5,102,24.39318468276421,5.667965889653976e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535615,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10391,54,8,101,24.30041656527429,6.085769827708152e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35560.1,7536258,qCDP7,1,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10378,56,5,99,24.33950626272076,6.204537249711513e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535805,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10379,56,5,99,24.33950626272076,6.204537249711513e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535806,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
9970,56,5,99,24.28099152402904,6.488032545741026e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534027,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10372,56,5,99,24.28099152402904,6.488032545741026e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535799,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10209,56,6,101,24.14514027594652,6.85611695352875e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35524.1,7535441,qCDP7,1,No,No,expressed protein,2.353222713984826e-06
10268,56,4,100,24.198952986017336,6.907737074054714e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535617,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
9957,56,5,102,24.124672856790056,6.964772976581353e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534013,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10351,56,5,99,24.156148963208746,7.137531798789014e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535778,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10497,113,5,45,24.04160299239265,7.423969371839052e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35590.1,7537041,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10408,56,4,103,23.916002126156577,8.177198653499773e-10,Filtered_Shoot_length,no,missense,exon,LOC_Os06g35560.1,7536275,qCDP7,1,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10372,56,5,102,23.91119494775236,8.207517751706212e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535799,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
9970,56,5,102,23.91119494775236,8.207517751706212e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534027,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10289,56,4,100,23.97347054726338,8.208609936412826e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535638,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10021,56,4,100,23.97347054726338,8.208609936412826e-10,Filtered_Stress_Shoot_length,no,synonymous,exon,LOC_Os06g35470.1,7534078,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10075,56,4,100,23.97347054726338,8.208609936412826e-10,Filtered_Stress_Shoot_length,no,missense,exon,LOC_Os06g35480.1,7534188,qCDP7,2,No,No,"peroxidase precursor, putative, expressed",2.353222713984826e-06
10020,56,4,100,23.97347054726338,8.208609936412826e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534077,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10285,56,4,100,23.97347054726338,8.208609936412826e-10,Filtered_Stress_Shoot_length,no,synonymous,exon,LOC_Os06g35530.1,7535634,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10508,56,4,100,23.97347054726338,8.208609936412826e-10,Filtered_Stress_Shoot_length,no,synonymous,exon,LOC_Os06g35590.1,7537053,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10495,56,4,100,23.97347054726338,8.208609936412826e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35590.1,7537039,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10269,56,4,100,23.97347054726338,8.208609936412826e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535618,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10409,56,5,99,23.94330182229041,8.400555279135242e-10,Filtered_Stress_Shoot_length,no,synonymous,exon,LOC_Os06g35560.1,7536276,qCDP7,1,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10312,56,5,99,23.931745508602443,8.475279663028678e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535667,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10083,56,6,98,23.929205327291218,8.491794793828508e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35480.1,7534196,qCDP7,2,No,No,"peroxidase precursor, putative, expressed",2.353222713984826e-06
10390,54,7,99,23.92292706238257,8.532753248042332e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35560.1,7536257,qCDP7,1,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10076,56,5,102,23.817073164406448,8.824629501814447e-10,Filtered_Shoot_length,no,missense,exon,LOC_Os06g35480.1,7534189,qCDP7,2,No,No,"peroxidase precursor, putative, expressed",2.353222713984826e-06
10075,56,5,102,23.817073164406448,8.824629501814447e-10,Filtered_Shoot_length,no,missense,exon,LOC_Os06g35480.1,7534188,qCDP7,2,No,No,"peroxidase precursor, putative, expressed",2.353222713984826e-06
10083,56,6,101,23.81650660387005,8.828483042947676e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35480.1,7534196,qCDP7,2,No,No,"peroxidase precursor, putative, expressed",2.353222713984826e-06
10433,56,37,70,23.79904198738568,8.948110578068195e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35574.1,7536651,qCDP7,1,Yes,No,"mki67 protein, putative, expressed",2.353222713984826e-06
10263,56,4,100,23.80985612123797,9.305642244787496e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535612,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10342,56,5,99,23.797628951691518,9.39336036795756e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535769,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10076,56,5,99,23.791295320791587,9.439126806119536e-10,Filtered_Stress_Shoot_length,no,missense,exon,LOC_Os06g35480.1,7534189,qCDP7,2,No,No,"peroxidase precursor, putative, expressed",2.353222713984826e-06
10032,107,17,36,23.78800722395193,9.462975381388092e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534090,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10057,55,6,102,23.70845815630361,9.595436823953904e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534116,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10209,56,7,97,23.76610807659348,9.62337424752412e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35524.1,7535441,qCDP7,1,No,No,expressed protein,2.353222713984826e-06
10408,56,4,100,23.76456541909349,9.634776620875774e-10,Filtered_Stress_Shoot_length,no,missense,exon,LOC_Os06g35560.1,7536275,qCDP7,1,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10433,56,37,67,23.755485557526498,9.702167181417787e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35574.1,7536651,qCDP7,1,Yes,No,"mki67 protein, putative, expressed",2.353222713984826e-06
10334,56,4,100,23.741414530288797,9.807546504506122e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535761,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10266,56,5,99,23.738415721725254,9.830154308040761e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535615,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
9957,56,5,99,23.73406465064966,9.8630506013335e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534013,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10323,63,5,92,23.653798538894197,1.0490307319065278e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535678,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.4711977114912003e-06
10093,107,4,49,23.523853548752747,1.1592651442604876e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35490.1,7534659,qCDP7,4,No,No,"peroxidase precursor, putative, expressed",2.6634474487268732e-06
10359,107,4,49,23.523853548752747,1.1592651442604876e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535786,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.6634474487268732e-06
9969,55,4,101,23.463463559016105,1.2144190433661775e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534026,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.756138828907873e-06
14430,132,4,37,23.143773481732392,1.2896727825487396e-09,Width_WO_husk,no,synonymous,intron,LOC_Os08g43334.1,10403302,qCDP9,9,No,No,"HSF-type DNA-binding domain containing protein, expressed",2.85723934324191e-06
14903,132,4,37,23.143773481732392,1.2896727825487396e-09,Width_WO_husk,no,synonymous,intron,LOC_Os08g43334.2,10403302,qCDP9,9,No,No,"HSF-type DNA-binding domain containing protein, expressed",2.85723934324191e-06
10329,55,5,100,23.134015955741607,1.5656682968971034e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535685,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",3.4278925888535403e-06
10391,54,8,98,23.10480353564715,1.601401316164174e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35560.1,7536258,qCDP7,1,No,No,"reticuline oxidase-like protein precursor, putative, expressed",3.4653579643971253e-06
10270,50,4,109,22.8202868864424,1.9093874168911023e-09,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535619,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",4.084333313602691e-06
10037,55,8,100,22.757685311960664,2.00472093521556e-09,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534096,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",4.190604099888256e-06
10520,53,6,104,22.729539500463268,2.049140102578352e-09,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35630.1,7537814,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",4.190604099888256e-06
10518,53,6,104,22.729539500463268,2.049140102578352e-09,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35630.1,7537814,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",4.190604099888256e-06
10519,53,6,104,22.729539500463268,2.049140102578352e-09,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35630.1,7537814,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",4.190604099888256e-06
10165,57,17,89,22.680749411838804,2.1285143568196305e-09,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35524.1,7535381,qCDP7,1,No,No,expressed protein,4.3056143674362305e-06
10300,55,5,100,22.711609832884765,2.1711355711928142e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535649,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",4.344605696763256e-06
14444,130,5,38,22.20836207443248,2.698811219301893e-09,Width_WO_husk,no,synonymous,intron,LOC_Os08g43334.1,10403318,qCDP9,9,No,No,"HSF-type DNA-binding domain containing protein, expressed",5.286829135916655e-06
14917,130,5,38,22.20836207443248,2.698811219301893e-09,Width_WO_husk,no,synonymous,intron,LOC_Os08g43334.2,10403318,qCDP9,9,No,No,"HSF-type DNA-binding domain containing protein, expressed",5.286829135916655e-06
10057,55,6,99,22.32743069386682,2.926442947176341e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534116,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",5.656780620670493e-06
10243,58,6,96,22.317805568242804,2.948456314911541e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35524.1,7535475,qCDP7,1,No,No,expressed protein,5.656780620670493e-06
7172,49,7,117,22.05418793831346,3.0499832921880906e-09,Height_WO_husk,no,synonymous,intron,LOC_Os05g08820.1,5696809,qCDP5,2,No,No,expressed protein,5.791856027308201e-06
10037,55,9,96,22.168639487949726,3.3118709976417085e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534096,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",6.2256484107184044e-06
10200,108,4,48,21.92244910459505,4.013743060075414e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35524.1,7535432,qCDP7,1,No,No,expressed protein,7.469575834800345e-06
10097,50,4,109,21.688076257939493,4.630164783397154e-09,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35490.1,7534663,qCDP7,4,No,No,"peroxidase precursor, putative, expressed",8.50457453685196e-06
10165,57,16,87,21.731293100820263,4.6612928681295005e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35524.1,7535381,qCDP7,1,No,No,expressed protein,8.50457453685196e-06
10518,53,6,101,21.694036876606255,4.7993328621992984e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35630.1,7537814,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",8.506246149097994e-06
10519,53,6,101,21.694036876606255,4.7993328621992984e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35630.1,7537814,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",8.506246149097994e-06
10520,53,6,101,21.694036876606255,4.7993328621992984e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35630.1,7537814,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",8.506246149097994e-06
10074,110,5,48,21.51553022157567,5.303956756918471e-09,Filtered_Shoot_length,no,synonymous,exon,LOC_Os06g35480.1,7534187,qCDP7,2,No,No,"peroxidase precursor, putative, expressed",9.311946721344599e-06
9962,108,4,48,21.47992328360293,5.676927126125506e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534019,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",9.797881602423418e-06
9963,108,5,47,21.47788145288056,5.6860355349904845e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534020,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",9.797881602423418e-06
10270,50,4,106,21.363579136247512,6.220260420516552e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535619,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",1.0593896131618025e-05
6640,118,4,51,21.152032411278935,6.261840808586689e-09,Height_WO_husk,no,synonymous,exon,LOC_Os05g08790.1,5695441,qCDP5,2,No,No,"MAR-binding filament-like protein 1, putative, expressed",1.0593896131618025e-05
10451,108,4,48,21.316196217021673,6.4563685556828235e-09,Filtered_Stress_Shoot_length,no,missense,exon,LOC_Os06g35574.1,7536669,qCDP7,1,Yes,No,"mki67 protein, putative, expressed",1.0824596290203365e-05
10172,140,6,27,21.021659098269435,6.951331809212925e-09,Width_WO_husk,no,synonymous,intron,LOC_Os06g35524.1,7535390,qCDP7,1,No,No,expressed protein,1.155038258655826e-05
10097,50,4,106,21.1253060210258,7.503244217090621e-09,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35490.1,7534663,qCDP7,4,No,No,"peroxidase precursor, putative, expressed",1.2357112821243935e-05
10277,111,4,48,21.014775540493165,7.877831858277626e-09,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535626,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",1.2731767253478125e-05
9962,111,4,48,21.014775540493165,7.877831858277626e-09,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534019,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",1.2731767253478125e-05
7541,121,25,27,20.856552427353584,7.935975289647837e-09,Width_WO_husk,no,synonymous,exon,LOC_Os05g08900.1,5698870,qCDP5,2,No,No,expressed protein,1.2731767253478125e-05
